timestamp,open,high,low,close
2018-01-02 09:01:17,77040,77135,77130,77135
2018-01-02 09:02:20,77125,77080,77075,77075
2018-01-02 09:05:18,77080,77105,77100,77100
2018-01-02 09:06:47,77105,77005,77000,77005
